iter	Passed	Remaining
943	5884	349
944	5890	342
945	5896	336
946	5902	330
947	5908	324
948	5914	317
949	5921	311
950	5927	305
951	5933	299
952	5939	292
953	5945	286
954	5952	280
955	5958	274
956	5964	267
957	5970	261
958	5976	255
959	5982	249
960	5989	243
961	5995	236
962	6001	230
963	6007	224
964	6014	218
965	6020	211
966	6026	205
967	6032	199
968	6038	193
969	6044	186
970	6051	180
971	6057	174
972	6063	168
973	6069	162
974	6076	155
975	6082	149
976	6088	143
977	6095	137
978	6100	130
979	6107	124
980	6113	118
981	6119	112
982	6125	105
983	6132	99
984	6138	93
985	6145	87
986	6151	81
987	6157	74
988	6163	68
989	6170	62
990	6176	56
991	6182	49
992	6189	43
993	6195	37
994	6201	31
995	6208	24
996	6214	18
997	6220	12
998	6226	6
999	6232	0
